time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/exploration_rate,time/episodes,time/fps,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/loss,eval/mean_ep_length,eval/mean_reward
247144,117426,-3.2253,0.05,2851,2,94.35,38600,0.0001,0.466301703453064,,
247160,117437,-3.2763,0.05,2852,2,94.64,,,,,
247288,117472,-3.3198999999999996,0.05,2853,2,96.21,38620,0.0001,0.632597279548645,,
247296,117481,-3.4481,0.05,2854,2,96.04,,,,,
247408,117508,-3.6073999999999997,0.05,2855,2,96.04,38640,0.0001,0.3580056458711624,,
247552,117528,-3.706899999999999,0.05,2856,2,95.78,38660,0.0001,0.5281233131885529,,
247672,117552,-3.8816999999999995,0.05,2857,2,95.38,38680,0.0001,0.4463213741779327,,
247808,,,0.05,,,,38700,0.0001,0.5628502249717713,107.4,-5.82
247816,117703,-4.261,0.05,2858,2,95.4,38705,0.0001,0.38158074021339417,,
247856,117717,-4.1224,0.05,2859,2,96.74,38710,0.0001,0.45276464223861695,,
248032,117755,-4.3293,0.05,2860,2,97.33,38735,0.0001,0.3392853826284409,,
248304,117807,-4.262,0.05,2861,2,97.51,38780,0.0001,0.5048794090747833,,
248360,117824,-4.1190999999999995,0.05,2862,2,97.57,38790,0.0001,0.47216259241104125,,
248472,117855,-4.1487,0.05,2863,2,97.57,38805,0.0001,0.30032182186841966,,
248488,117873,-4.598599999999999,0.05,2864,2,97.81,38810,0.0001,0.606444364786148,,
248488,117873,-4.598599999999999,,2865,2,97.81,,,,,
248520,117888,-4.428800000000001,0.05,2866,2,97.15,38815,0.0001,0.42253531515598297,,
248528,117915,-4.3267999999999995,0.05,2867,2,97.85,,,,,
248696,117967,-4.6529,0.05,2868,2,97.33,38840,0.0001,0.6735811412334443,,
248712,117980,-4.4830000000000005,0.05,2869,2,97.73,38845,0.0001,0.5404477179050445,,
248832,,,0.05,,,,38860,0.0001,0.523580127954483,144.6,-5.676
248920,118163,-4.166899999999999,0.05,2870,2,97.89,38875,0.0001,0.2841885954141617,,
249064,118205,-4.472899999999999,0.05,2871,2,97.21,38900,0.0001,0.5499686062335968,,
249328,118265,-4.499,0.05,2872,2,96.99,38940,0.0001,0.28276278376579284,,
249400,118288,-4.3629,0.05,2873,2,97.23,38950,0.0001,0.41725688576698305,,
249456,118311,-3.9532,0.05,2874,2,97.67,38960,0.0001,0.44222888350486755,,
249464,118320,-3.9552000000000005,0.05,2875,2,98.16,,,,,
249480,118340,-3.9204000000000003,0.05,2876,2,97.81,38965,0.0001,0.40649173259735105,,
249480,118340,-3.9204000000000003,,2877,2,97.81,,,,,
249488,118350,-4.0797,0.05,2878,2,98.0,,,,,
