time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward
2,1.4184999999999997,164000,96.83,68788,1421,0.05,0.0001,25605,0.2376118242740631,,
2,1.7665,164048,95.14,68800,1422,0.05,0.0001,25615,0.32666121125221254,,
2,1.8022,164248,95.39,68833,1423,0.05,0.0001,25645,0.2440917283296585,,
2,1.7135,164664,95.55,68889,1424,0.05,0.0001,25710,0.31687620282173157,,
2,1.6532000000000002,164672,95.79,68956,1425,0.05,,,,,
2,1.9041000000000003,164728,94.71,68969,1426,0.05,0.0001,25720,0.32993502020835874,,
2,1.7868000000000004,164816,94.52,68991,1427,0.05,0.0001,25735,0.20064074993133546,,
2,1.7310999999999999,164832,94.95,69017,1428,0.05,,,,,
,,164864,,,,0.05,0.0001,25740,0.29383325278759004,79.6,5.376
2,1.7927999999999997,165304,94.22,69275,1429,0.05,0.0001,25810,0.2952826678752899,,
2,1.8754999999999997,165320,93.28,69344,1430,0.05,0.0001,25815,0.23938609063625335,,
2,2.299,165328,94.48,69352,1431,0.05,,,,,
2,2.2149,165336,93.45,69419,1432,0.05,,,,,
2,2.4384,165408,95.35,69453,1433,0.05,0.0001,25825,0.29841285943984985,,
2,2.4384,165408,95.35,69453,1434,,,,,,
2,2.4481,165496,96.3,69465,1435,0.05,0.0001,25840,0.31684184074401855,,
2,2.3958,165600,97.25,69478,1436,0.05,0.0001,25855,0.2788169264793396,,
2,2.3614,165608,97.36,69486,1437,0.05,0.0001,25860,0.28696924149990083,,
2,2.5947000000000005,165616,96.99,69494,1438,0.05,,,,,
,,165888,,,,0.05,0.0001,25900,0.32014415264129636,165.2,-2.4020000000000006
2,2.1129,166000,96.82,69677,1439,0.05,0.0001,25920,0.3431028127670288,,
2,2.0208999999999997,166408,96.82,69707,1440,0.05,0.0001,25985,0.23615078926086425,,
2,2.0157,166448,97.08,69717,1441,0.05,0.0001,25990,0.28966776728630067,,
2,1.8566999999999998,166512,97.42,69727,1442,0.05,0.0001,26000,0.2883613854646683,,
2,1.7958999999999998,166552,98.84,69754,1443,0.05,0.0001,26005,0.24774682223796846,,
2,2.0597,166632,99.22,69767,1444,0.05,0.0001,26020,0.2607073843479156,,
2,1.8165999999999993,166888,99.61,69797,1445,0.05,0.0001,26060,0.24207112193107605,,
2,1.6494999999999995,166896,99.57,69804,1446,0.05,,,,,
,,166912,,,,0.05,,,,190.8,-7.698
2,1.5106999999999997,167160,101.51,70113,1447,0.05,0.0001,26100,0.25739389657974243,,
2,1.3207999999999993,167168,100.84,70137,1448,0.05,,,,,
2,1.1814999999999996,167184,100.89,70146,1449,0.05,0.0001,26105,0.23775196969509124,,
2,1.2175999999999996,167200,100.96,70155,1450,0.05,,,,,
2,0.9923999999999996,167216,100.71,70164,1451,0.05,0.0001,26110,0.21415263414382935,,
2,1.2918999999999996,167224,100.5,70231,1452,0.05,,,,,
2,1.5729,167232,100.12,70299,1453,0.05,,,,,
2,1.2265000000000001,167416,99.43,70324,1454,0.05,0.0001,26140,0.28375084400177003,,
2,1.5816000000000003,167712,100.43,70355,1455,0.05,0.0001,26185,0.2064045175909996,,
2,1.1864000000000003,167720,100.3,70363,1456,0.05,0.0001,26190,0.2587867498397827,,
2,1.2362999999999997,167728,100.44,70370,1457,0.05,,,,,
,,167936,,,,0.05,0.0001,26220,0.20514669716358186,191.2,8.05
2,1.1863000000000001,168032,99.56,70584,1458,0.05,0.0001,26235,0.21938357651233673,,
2,0.9928999999999999,168056,99.98,70611,1459,0.05,0.0001,26240,0.3237337708473206,,
2,1.2116,168240,100.74,70642,1460,0.05,0.0001,26270,0.27946852147579193,,
2,1.1007,168248,99.59,70709,1461,0.05,,,,,
2,1.5682999999999998,168272,100.74,70718,1462,0.05,0.0001,26275,0.282851505279541,,
2,1.8095999999999999,168352,100.32,70731,1463,0.05,0.0001,26285,0.23895473182201385,,
2,1.53,168376,99.73,70799,1464,0.05,0.0001,26290,0.33779560029506683,,
2,2.029,168400,100.86,70825,1465,0.05,0.0001,26295,0.25081002414226533,,
2,2.029,168400,100.86,70825,1466,,,,,,
2,2.1642,168904,100.56,70873,1467,0.05,0.0001,26375,0.2159145802259445,,
,,168960,,,,0.05,0.0001,26380,0.26207026541233064,144.2,1.634
2,2.6364000000000005,169072,100.38,71133,1468,0.05,0.0001,26400,0.31466701328754426,,
2,2.7872000000000003,169112,100.45,71143,1469,0.05,0.0001,26405,0.27650913000106814,,
2,2.5519000000000003,169168,100.65,71155,1470,0.05,0.0001,26415,0.33707325756549833,,
2,2.4401,169200,101.69,71165,1471,0.05,0.0001,26420,0.2585518598556519,,
2,2.3517,169208,99.36,71233,1472,0.05,,,,,
2,2.2870000000000004,169216,97.96,71300,1473,0.05,,,,,
2,1.975,169224,97.23,71385,1474,0.05,0.0001,26425,0.27042663991451266,,
2,2.0759,169240,96.09,71393,1475,0.05,,,,,
2,1.8549999999999998,169248,95.12,71461,1476,0.05,,,,,
2,2.2117999999999998,169256,95.05,71468,1477,0.05,0.0001,26430,0.2882104218006134,,
2,2.3540999999999994,169544,96.16,71497,1478,0.05,0.0001,26475,0.32111223936080935,,
2,1.9683999999999995,169696,95.49,71516,1479,0.05,0.0001,26495,0.27877874076366427,,
2,1.8890999999999991,169720,94.88,71525,1480,0.05,0.0001,26500,0.2898899674415588,,
2,2.1047,169920,96.14,71547,1481,0.05,0.0001,26530,0.29547218978405,,
2,2.3822999999999994,169944,95.61,71615,1482,0.05,0.0001,26535,0.2879090249538422,,
,,169984,,,,0.05,0.0001,26540,0.1987411320209503,124.6,-16.598000000000003
2,2.3445,170000,94.6,71906,1483,0.05,0.0001,26545,0.31696081459522246,,
2,2.3819999999999992,170208,95.17,71928,1484,0.05,0.0001,26575,0.2764472752809525,,
2,2.7104000000000004,170432,95.33,71950,1485,0.05,0.0001,26610,0.25055055022239686,,
2,2.6927,170472,94.71,71959,1486,0.05,0.0001,26620,0.2416719228029251,,
2,3.24,170568,95.64,71974,1487,0.05,0.0001,26635,0.34922100603580475,,
2,3.2171999999999996,170744,96.61,71994,1488,0.05,0.0001,26660,0.337187322974205,,
